"","country","cluster"
"1","Austria",1
"2","Belgium and Luxembourg",1
"3","Bulgaria",2
"4","Croatia",3
"5","Czech Republic",4
"6","Finland",4
"7","France and Algeria, Monaco, Morocco and Tunisia",4
"8","Germany",1
"9","Hungary",2
"10","Iceland",2
"11","Italy",4
"12","Lithuania",4
"13","Netherlands",4
"14","Norway",4
"15","Portugal and Angola",4
"16","Romania",2
"17","Slovakia",4
"18","Slovenia",4
"19","Spain",4
"20","Turkey",4
"21","Ukraine",2
"22","United Kingdom, Ireland and Malta",4
